"グループ番号","グループ属性","グループ人数","町丁目コード","座標X","座標Y","校区番号","町丁目名","小学校区名"
71,4,1,"103012101",-32061.84,-24161.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
72,4,1,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
73,4,1,"103012101",-32099.99,-24203.87,9,"熊本市西区 城山大塘 一丁目","城山小学校"
74,4,1,"103012101",-31942.95,-24157.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
75,4,1,"103012101",-32000.03,-24326.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
76,1,2,"103012101",-32141.35,-24247.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
77,1,2,"103012101",-32087.66,-24144.93,9,"熊本市西区 城山大塘 一丁目","城山小学校"
78,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
79,1,2,"103012101",-31942.95,-24157.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
80,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
81,1,2,"103012101",-32091.39,-23951.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
82,1,2,"103012101",-32072.34,-24268.29,9,"熊本市西区 城山大塘 一丁目","城山小学校"
83,1,2,"103012101",-32077.74,-24287.27,9,"熊本市西区 城山大塘 一丁目","城山小学校"
84,1,2,"103012101",-32031.36,-24196.41,9,"熊本市西区 城山大塘 一丁目","城山小学校"
85,1,2,"103012101",-32150.86,-24433.48,9,"熊本市西区 城山大塘 一丁目","城山小学校"
86,1,2,"103012101",-32075.36,-24433.45,9,"熊本市西区 城山大塘 一丁目","城山小学校"
87,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
88,1,2,"103012101",-32070.82,-24324.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
89,1,2,"103012101",-32030.04,-24350.86,9,"熊本市西区 城山大塘 一丁目","城山小学校"
90,1,2,"103012101",-32030.52,-24442.5,9,"熊本市西区 城山大塘 一丁目","城山小学校"
91,1,2,"103012101",-32115.56,-23947.42,9,"熊本市西区 城山大塘 一丁目","城山小学校"
92,1,2,"103012101",-32061.84,-24161.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
93,1,2,"103012101",-31997.62,-24313.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
94,1,2,"103012101",-31981.4,-24592.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
95,1,2,"103012101",-32139.63,-24229.31,9,"熊本市西区 城山大塘 一丁目","城山小学校"
96,1,2,"103012101",-32059.89,-24150.74,9,"熊本市西区 城山大塘 一丁目","城山小学校"
97,1,2,"103012101",-32113.65,-23969.32,9,"熊本市西区 城山大塘 一丁目","城山小学校"
98,1,2,"103012101",-32115.56,-23947.42,9,"熊本市西区 城山大塘 一丁目","城山小学校"
99,1,2,"103012101",-32092.11,-23937.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
100,1,2,"103012101",-32042.15,-24404.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
101,1,2,"103012101",-31989.61,-24393.09,9,"熊本市西区 城山大塘 一丁目","城山小学校"
102,1,2,"103012101",-32072.97,-24444.88,9,"熊本市西区 城山大塘 一丁目","城山小学校"
103,1,2,"103012101",-31971.88,-24502.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
104,1,2,"103012101",-32096.35,-24285.85,9,"熊本市西区 城山大塘 一丁目","城山小学校"
105,1,2,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
106,1,2,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
107,1,2,"103012101",-32085.19,-24072.72,9,"熊本市西区 城山大塘 一丁目","城山小学校"
108,1,2,"103012101",-32150.86,-24433.48,9,"熊本市西区 城山大塘 一丁目","城山小学校"
109,1,2,"103012101",-32098.75,-24171.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
110,1,2,"103012101",-32039.05,-24290.11,9,"熊本市西区 城山大塘 一丁目","城山小学校"
111,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
112,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
113,1,2,"103012101",-32115.25,-24017.5,9,"熊本市西区 城山大塘 一丁目","城山小学校"
114,1,2,"103012101",-31942.95,-24157.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
115,1,2,"103012101",-32098.11,-24068.39,9,"熊本市西区 城山大塘 一丁目","城山小学校"
116,1,2,"103012101",-31968.25,-24469.61,9,"熊本市西区 城山大塘 一丁目","城山小学校"
117,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
118,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
119,1,2,"103012101",-32154.72,-24396.15,9,"熊本市西区 城山大塘 一丁目","城山小学校"
120,1,2,"103012101",-31985.99,-24354.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
121,1,2,"103012101",-32047.65,-24027.87,9,"熊本市西区 城山大塘 一丁目","城山小学校"
122,1,2,"103012101",-31971.88,-24502.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
123,1,2,"103012101",-32150.86,-24433.48,9,"熊本市西区 城山大塘 一丁目","城山小学校"
124,1,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
125,1,2,"103012101",-31975.74,-24102.19,9,"熊本市西区 城山大塘 一丁目","城山小学校"
126,4,2,"103012101",-32107.45,-24422.83,9,"熊本市西区 城山大塘 一丁目","城山小学校"
127,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
128,4,2,"103012101",-32050.27,-23975.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
129,4,2,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
130,4,2,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
131,4,2,"103012101",-31971.88,-24502.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
132,4,2,"103012101",-32008.72,-24161.98,9,"熊本市西区 城山大塘 一丁目","城山小学校"
133,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
134,4,2,"103012101",-32100.95,-24028.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
135,4,2,"103012101",-32039.05,-24290.11,9,"熊本市西区 城山大塘 一丁目","城山小学校"
136,4,2,"103012101",-31974.85,-24253.02,9,"熊本市西区 城山大塘 一丁目","城山小学校"
137,4,2,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
138,4,2,"103012101",-32051.83,-24232.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
139,4,2,"103012101",-32102.5,-24214.62,9,"熊本市西区 城山大塘 一丁目","城山小学校"
140,4,2,"103012101",-32072.97,-24444.88,9,"熊本市西区 城山大塘 一丁目","城山小学校"
141,4,2,"103012101",-32006.66,-24405.71,9,"熊本市西区 城山大塘 一丁目","城山小学校"
142,4,2,"103012101",-32107.45,-24422.83,9,"熊本市西区 城山大塘 一丁目","城山小学校"
143,4,2,"103012101",-32059.8,-24288.62,9,"熊本市西区 城山大塘 一丁目","城山小学校"
144,4,2,"103012101",-32080.6,-24031.86,9,"熊本市西区 城山大塘 一丁目","城山小学校"
145,4,2,"103012101",-32123.28,-24284.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
146,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
147,4,2,"103012101",-32122.93,-24250.43,9,"熊本市西区 城山大塘 一丁目","城山小学校"
148,4,2,"103012101",-32108.7,-24248.6,9,"熊本市西区 城山大塘 一丁目","城山小学校"
149,4,2,"103012101",-32113.24,-24406.04,9,"熊本市西区 城山大塘 一丁目","城山小学校"
150,4,2,"103012101",-32007.41,-24418.58,9,"熊本市西区 城山大塘 一丁目","城山小学校"
151,4,2,"103012101",-31989.31,-24162.02,9,"熊本市西区 城山大塘 一丁目","城山小学校"
152,4,2,"103012101",-32143.71,-24275.39,9,"熊本市西区 城山大塘 一丁目","城山小学校"
153,4,2,"103012101",-31945.95,-24184.31,9,"熊本市西区 城山大塘 一丁目","城山小学校"
154,4,2,"103012101",-32121.34,-24408.75,9,"熊本市西区 城山大塘 一丁目","城山小学校"
155,4,2,"103012101",-32103.17,-24321.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
156,4,2,"103012101",-32008.72,-24161.98,9,"熊本市西区 城山大塘 一丁目","城山小学校"
157,4,2,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
158,4,2,"103012101",-32108.7,-24248.6,9,"熊本市西区 城山大塘 一丁目","城山小学校"
159,4,2,"103012101",-32123.28,-24284.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
160,4,2,"103012101",-31989.85,-24198.28,9,"熊本市西区 城山大塘 一丁目","城山小学校"
161,4,2,"103012101",-31990.8,-24407.75,9,"熊本市西区 城山大塘 一丁目","城山小学校"
162,4,2,"103012101",-32145.44,-24288.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
163,4,2,"103012101",-32113.24,-24406.04,9,"熊本市西区 城山大塘 一丁目","城山小学校"
164,4,2,"103012101",-31993.46,-24432.9,9,"熊本市西区 城山大塘 一丁目","城山小学校"
165,4,2,"103012101",-32008.17,-24179.81,9,"熊本市西区 城山大塘 一丁目","城山小学校"
166,4,2,"103012101",-32084.99,-24323.85,9,"熊本市西区 城山大塘 一丁目","城山小学校"
167,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
168,4,2,"103012101",-32075.3,-24104.4,9,"熊本市西区 城山大塘 一丁目","城山小学校"
169,4,2,"103012101",-32030.52,-24442.5,9,"熊本市西区 城山大塘 一丁目","城山小学校"
170,4,2,"103012101",-32032.4,-24206.84,9,"熊本市西区 城山大塘 一丁目","城山小学校"
171,4,2,"103012101",-32076.57,-24049.36,9,"熊本市西区 城山大塘 一丁目","城山小学校"
172,4,2,"103012101",-32050.1,-24006.09,9,"熊本市西区 城山大塘 一丁目","城山小学校"
173,4,2,"103012101",-31968.25,-24469.61,9,"熊本市西区 城山大塘 一丁目","城山小学校"
174,4,2,"103012101",-32096.35,-24285.85,9,"熊本市西区 城山大塘 一丁目","城山小学校"
175,4,2,"103012101",-32015.93,-24246.66,9,"熊本市西区 城山大塘 一丁目","城山小学校"
176,4,2,"103012101",-31989.64,-24180.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
177,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
178,4,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
179,4,2,"103012101",-32081.97,-24244.11,9,"熊本市西区 城山大塘 一丁目","城山小学校"
180,4,2,"103012101",-32080.6,-24031.86,9,"熊本市西区 城山大塘 一丁目","城山小学校"
181,4,2,"103012101",-32006.66,-24405.71,9,"熊本市西区 城山大塘 一丁目","城山小学校"
182,4,2,"103012101",-32072.34,-24268.29,9,"熊本市西区 城山大塘 一丁目","城山小学校"
183,4,2,"103012101",-32072.34,-24268.29,9,"熊本市西区 城山大塘 一丁目","城山小学校"
184,4,2,"103012101",-32141.72,-24259.58,9,"熊本市西区 城山大塘 一丁目","城山小学校"
185,4,2,"103012101",-31980.02,-24273.2,9,"熊本市西区 城山大塘 一丁目","城山小学校"
186,4,2,"103012101",-32045.91,-24176.67,9,"熊本市西区 城山大塘 一丁目","城山小学校"
187,4,2,"103012101",-32103.17,-24321.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
188,2,2,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
189,2,2,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
190,1,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
191,1,3,"103012101",-31968.25,-24469.61,9,"熊本市西区 城山大塘 一丁目","城山小学校"
192,1,3,"103012101",-32068.79,-23933.17,9,"熊本市西区 城山大塘 一丁目","城山小学校"
193,1,3,"103012101",-31990.8,-24407.75,9,"熊本市西区 城山大塘 一丁目","城山小学校"
194,1,3,"103012101",-32072.47,-24071.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
195,1,3,"103012101",-32064.97,-24175.84,9,"熊本市西区 城山大塘 一丁目","城山小学校"
196,1,3,"103012101",-32128.78,-24133.72,9,"熊本市西区 城山大塘 一丁目","城山小学校"
197,1,3,"103012101",-32077.74,-24287.27,9,"熊本市西区 城山大塘 一丁目","城山小学校"
198,1,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
199,1,3,"103012101",-32030.04,-24350.86,9,"熊本市西区 城山大塘 一丁目","城山小学校"
200,1,3,"103012101",-32059.89,-24150.74,9,"熊本市西区 城山大塘 一丁目","城山小学校"
201,1,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
202,1,3,"103012101",-32016.85,-24258.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
203,1,3,"103012101",-32102.04,-24399.54,9,"熊本市西区 城山大塘 一丁目","城山小学校"
204,1,3,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
205,1,3,"103012101",-32100.95,-24028.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
206,1,3,"103012101",-32101.32,-24181.39,9,"熊本市西区 城山大塘 一丁目","城山小学校"
207,1,3,"103012101",-32061.84,-24161.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
208,1,3,"103012101",-32042.66,-24424.84,9,"熊本市西区 城山大塘 一丁目","城山小学校"
209,1,3,"103012101",-32098.11,-24068.39,9,"熊本市西区 城山大塘 一丁目","城山小学校"
210,1,3,"103012101",-32096.35,-24285.85,9,"熊本市西区 城山大塘 一丁目","城山小学校"
211,1,3,"103012101",-32123.28,-24284.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
212,1,3,"103012101",-32061.84,-24161.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
213,1,3,"103012101",-31942.95,-24157.12,9,"熊本市西区 城山大塘 一丁目","城山小学校"
214,1,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
215,1,3,"103012101",-32026.05,-24064.26,9,"熊本市西区 城山大塘 一丁目","城山小学校"
216,1,3,"103012101",-32121.34,-24408.75,9,"熊本市西区 城山大塘 一丁目","城山小学校"
217,1,3,"103012101",-32082.53,-24415.41,9,"熊本市西区 城山大塘 一丁目","城山小学校"
218,1,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
219,1,3,"103012101",-32040.26,-24146.01,9,"熊本市西区 城山大塘 一丁目","城山小学校"
220,4,3,"103012101",-32085.19,-24072.72,9,"熊本市西区 城山大塘 一丁目","城山小学校"
221,4,3,"103012101",-32154.72,-24396.15,9,"熊本市西区 城山大塘 一丁目","城山小学校"
222,4,3,"103012101",-32034.88,-24268.81,9,"熊本市西区 城山大塘 一丁目","城山小学校"
223,4,3,"103012101",-31968.25,-24469.61,9,"熊本市西区 城山大塘 一丁目","城山小学校"
224,4,3,"103012101",-32122.76,-24396.68,9,"熊本市西区 城山大塘 一丁目","城山小学校"
225,4,3,"103012101",-31989.31,-24162.02,9,"熊本市西区 城山大塘 一丁目","城山小学校"
226,4,3,"103012101",-31955.71,-24254.14,9,"熊本市西区 城山大塘 一丁目","城山小学校"
227,4,3,"103012101",-32070.81,-24232.11,9,"熊本市西区 城山大塘 一丁目","城山小学校"
228,4,3,"103012101",-32027.99,-24406.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
229,4,3,"103012101",-32072.24,-24254.31,9,"熊本市西区 城山大塘 一丁目","城山小学校"
230,4,3,"103012101",-32048.87,-23958.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
231,4,3,"103012101",-32007.17,-24145.65,9,"熊本市西区 城山大塘 一丁目","城山小学校"
232,4,3,"103012101",-32051.83,-24232.46,9,"熊本市西区 城山大塘 一丁目","城山小学校"
233,4,3,"103012101",-32048.87,-23958.52,9,"熊本市西区 城山大塘 一丁目","城山小学校"
234,4,3,"103012101",-32108.7,-24248.6,9,"熊本市西区 城山大塘 一丁目","城山小学校"
235,4,3,"103012101",-31981.4,-24592.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
236,4,3,"103012101",-31987.66,-24150.24,9,"熊本市西区 城山大塘 一丁目","城山小学校"
237,4,3,"103012101",-31984.41,-24326.87,9,"熊本市西区 城山大塘 一丁目","城山小学校"
238,4,3,"103012101",-32046.61,-24381.55,9,"熊本市西区 城山大塘 一丁目","城山小学校"
239,4,3,"103012101",-32062.23,-24138.99,9,"熊本市西区 城山大塘 一丁目","城山小学校"
240,4,3,"103012101",-31969.66,-24205.56,9,"熊本市西区 城山大塘 一丁目","城山小学校"
241,4,3,"103012101",-32067.78,-24198.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
242,4,3,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
243,4,3,"103012101",-31981.4,-24592.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
244,4,3,"103012101",-32146.14,-24305.97,9,"熊本市西区 城山大塘 一丁目","城山小学校"
245,4,3,"103012101",-31988.96,-24383.04,9,"熊本市西区 城山大塘 一丁目","城山小学校"
246,2,3,"103012101",-31998.63,-24251.27,9,"熊本市西区 城山大塘 一丁目","城山小学校"
247,2,3,"103012101",-32150.86,-24433.48,9,"熊本市西区 城山大塘 一丁目","城山小学校"
248,2,3,"103012101",-31998.63,-24251.27,9,"熊本市西区 城山大塘 一丁目","城山小学校"
249,2,3,"103012101",-31981.4,-24592.7,9,"熊本市西区 城山大塘 一丁目","城山小学校"
250,2,3,"103012101",-32073.71,-24061.98,9,"熊本市西区 城山大塘 一丁目","城山小学校"
251,2,3,"103012101",-32084.2,-24187.96,9,"熊本市西区 城山大塘 一丁目","城山小学校"
252,2,3,"103012101",-32037.2,-24051.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
253,2,3,"103012101",-32037.2,-24051.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
254,1,4,"103012101",-32042.66,-24424.84,9,"熊本市西区 城山大塘 一丁目","城山小学校"
255,1,4,"103012101",-32037.2,-24051.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
256,1,4,"103012101",-31985.99,-24354.06,9,"熊本市西区 城山大塘 一丁目","城山小学校"
257,1,4,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
258,1,4,"103012101",-31987.65,-24659.51,9,"熊本市西区 城山大塘 一丁目","城山小学校"
259,1,4,"103012101",-32077.74,-24143.29,9,"熊本市西区 城山大塘 一丁目","城山小学校"
260,1,4,"103012101",-32100.95,-24028.64,9,"熊本市西区 城山大塘 一丁目","城山小学校"
261,1,4,"103012101",-31993.79,-24446.82,9,"熊本市西区 城山大塘 一丁目","城山小学校"
262,1,4,"103012101",-31998.25,-24294.23,9,"熊本市西区 城山大塘 一丁目","城山小学校"
263,1,4,"103012101",-32053.23,-24246.1,9,"熊本市西区 城山大塘 一丁目","城山小学校"
264,1,4,"103012101",-32098.05,-24379.34,9,"熊本市西区 城山大塘 一丁目","城山小学校"
265,1,4,"103012101",-31993.79,-24446.82,9,"熊本市西区 城山大塘 一丁目","城山小学校"
266,1,4,"103012101",-32107.45,-24422.83,9,"熊本市西区 城山大塘 一丁目","城山小学校"
267,4,4,"103012101",-32015.25,-24069.2,9,"熊本市西区 城山大塘 一丁目","城山小学校"
268,4,4,"103012101",-32049.08,-24193.15,9,"熊本市西区 城山大塘 一丁目","城山小学校"
269,4,4,"103012101",-31969.66,-24205.56,9,"熊本市西区 城山大塘 一丁目","城山小学校"
270,4,4,"103012101",-32053.23,-24246.1,9,"熊本市西区 城山大塘 一丁目","城山小学校"
271,4,4,"103012101",-32084.99,-24323.85,9,"熊本市西区 城山大塘 一丁目","城山小学校"
272,4,4,"103012101",-32098.75,-24171.33,9,"熊本市西区 城山大塘 一丁目","城山小学校"
